Column1,Column2
"speed
[spɪːd]
n. high speed"," velocidade; rapidez; estimulante; acelerador (no carro)
v. apressar-se; mover com velocidade; dirigir muito rápido; ser feliz; ser bem sucedido; adiantar; aviar; despachar
 超速，加速；加速，迅速前行；兴隆"
"squeeze
['squeeze || skwiːz]
n. squeeze casting"," aperto; abraço; pressão; extorsão
v. apertar, espremer; comprimir; pressionar; beliscar; apertar-se
 挤；紧握；勒索"
 suggest doing, propose 提议，建议；启发；使人想起；显示；暗示
 dirt road, filth; soil 污垢，泥土；灰尘，尘土；下流话
 in total, soma final (para o pagamento 全部的；完全的；整个的
 in total, inteiramente 全部的；完全的；整个的
"tycoon
[ty·coon || taɪ'kuːn]
n. "," magnata
 企业界大亨，巨头；巨富"
"typewriter
n. typewriter ribbon"," máquina de escrever
 打字机"
"unit
[u·nit || 'juːnɪt]
n. per unit"," unidade; mecanismo; mobília
 单位，单元；装置；[军] 部队；部件"
 flow in, stream 流动，涌流；川流不息；飘扬
"widespread
adj. "," expandido, espalhado; comum, freqüente; alastrado por uma superfície extensa
 普遍的，广泛的；分布广的"
"widget
[wid·get || 'wɪdʒɪt]
n. "," troço, coisa, trem (objeto cujo nome foi esquecido ou não se sabe); símbolo gráfico que permite a interação entre o usuário e o computador (barra de rolagem, botão, etc.); pequeno programa que descreve a função dos símbolos gráficos
 装饰物；小机械；小部件；未定名的主要新产品"
"width
[wɪdθ]
n. pulse width"," largura
 宽度；广度"
 raw material, substancial 重要的；物质的，实质性的；肉体的
"yearly
[year·ly || 'jɪrlɪ /'jɪə- ,'jɜː-]
adj. yearly output"," anual
adv. anualmente, todo ano, cada ano; uma vez por ano; durante o ano
 每年的"
"yield
[jɪːld]
n. high yield"," produção, safra; renda, lucro
v. render frutos, dar lucro; render-se, capitular; recuar
 屈服；出产，产生；放弃"
"zero
[ze·ro || 'zɪrəʊ ,'zɪː- /'zɪə-]
adj. below zero"," ser o número zero
n. zero, número zero, 0
v. zerar, adaptar
 零点，零度"
 crazy about, insane 疯狂的；狂热的，着迷的
 extract from, essence 提取；取出；摘录；榨取
"apprentice
[ap·pren·tice || ə'prentɪs]
n. "," aprendiz; principiante; noviço
v. tornar-se um aprendiz
 学徒；生手"
"functional
[func·tion·al || 'fʌŋkʃənl]
adj. functional food"," funcional; relativo ao cargo ou função; prático; que funciona, que anda
 功能的"
"object
[ob·ject || əb'dʒekt ,'ɑbdʒɪkt /'ɒb-]
n. object oriented"," objeto, coisa, matéria; assunto, objetivo, finalidade; aquele que recebe a ação (Gram.); imagem ou parte de um documento que pode ser incorporado em outro (Comp.); (em programação baseada em objetos) uma variável que contém rotinas e dados e é tratada como uma unidade separada (Comp.)
v. objetar, impedir, opor-se, imputar; aduzir
 目标；物体；客体；宾语"
 by default, option on a computer which is automatically selected unless a user selects a different option 拖欠；不履行；不到场
